category	EC	gene_name	Hmm_file	Hmm_threshold
Nitrogen cycling	1.7.5.1	nitrate reductase / nitrite oxidoreductase, alpha subunit; nitrate reductase / nitrite oxidoreductase, beta subunit	nitrite_oxidoreductase_nxrA.hmm, nitrite_oxidoreductase_nxrB.hmm	370|full, 252|full
Nitrogen cycling	1.7.5.1	nitrate reductase / nitrite oxidoreductase, alpha subunit; nitrate reductase / nitrite oxidoreductase, beta subunit	TIGR01580.hmm, TIGR01660.hmm	600.95|full, 348.00|full
Nitrogen cycling	1.9.6.1	nitrate reductase (cytochrome)	TIGR01706.hmm	472.50|full
Nitrogen cycling	K02305	nitric oxide reductase subunit C	nitric_oxide_reductase_norC.hmm	50|full
Nitrogen cycling	K02568	nitrate reductase (cytochrome), electron transfer subunit	PF03892.hmm	23.9|full
Nitrogen cycling	K02588	nitrogenase iron protein NifH	TIGR01287.hmm	261.05|full
Nitrogen cycling	K04015	protein NrfD	TIGR03148.hmm	300.15|full
Nitrogen cycling	K07218	nitrous oxidase accessory protein	PF05048.hmm	290|full
Nitrogen cycling	K10945	methane/ammonia monooxygenase subunit B	amoB.hmm	156.70|full
Nitrogen cycling	K10946	methane/ammonia monooxygenase subunit C	amoC.hmm	136.27|full
Nitrogen cycling	K15876	cytochrome c nitrite reductase small subunit	TIGR03153.hmm	75.30|full
Nitrogen cycling	N/A	nitrogenase iron-iron protein, alpha subunit	TIGR01861.hmm	873.55|full
Nitrogen cycling	N/A	nitrogenase iron-iron protein, beta subunit	TIGR02931.hmm	853.75|full
Nitrogen cycling	N/A	nitrite reductase (Octaheme c-type cytochrome Shewanella-type)	TIGR04315.hmm	325.00|full
Nucleotide Metabolism	1.1.1.205	IMP dehydrogenase		
Nucleotide Metabolism	1.17.4.2	ribonucleoside-triphosphate reductase (thioredoxin)		
Nucleotide Metabolism	1.8.1.9	thioredoxin reductase (NADPH)		
Nucleotide Metabolism	2.4.2.1	purine-nucleoside phosphorylase		
Nucleotide Metabolism	2.4.2.3	uridine phosphorylase		
Nucleotide Metabolism	2.4.2.4	thymidine phosphorylase		
Nucleotide Metabolism	2.7.4.14	UMP-CMP kinase		
Nucleotide Metabolism	3.5.4.1	cytosine/creatinine deaminase		
Nucleotide Metabolism	3.6.1.13	ADP-ribose diphosphatase		
Nucleotide Metabolism	4.1.1.23	orotidine-5'-phosphate decarboxylase		
Nucleotide Metabolism	6.3.4.13	phosphoribosylamine---glycine ligase		
Nucleotide Metabolism	6.3.4.4	adenylosuccinate synthase		
Nucleotide Metabolism	6.3.5.5	carbamoyl-phosphate synthase small subunit		
Oxidative phosphorylation	7.1.1.2	NADH-quinone oxidoreductase subunit A; NADH-quinone oxidoreductase subunit B; NADH-quinone oxidoreductase subunit C		
Oxidative phosphorylation	7.1.1.2	NAD(P)H-quinone oxidoreductase subunit 1; NAD(P)H-quinone oxidoreductase subunit 2; NAD(P)H-quinone oxidoreductase subunit 3		
Oxidative phosphorylation	7.1.1.8	ubiquinol-cytochrome c reductase iron-sulfur subunit		
Oxidative phosphorylation	7.1.2.2	V/A-type H+/Na+-transporting ATPase subunit A		
Oxidative phosphorylation	7.1.2.2	F-type H+/Na+-transporting ATPase subunit alpha, F-type H+/Na+-transporting ATPase subunit beta		
Oxidative phosphorylation	K00241	succinate dehydrogenase cytochrome b subunit		
Oxidative phosphorylation	K00242	succinate dehydrogenase membrane anchor subunit		
Oxidative phosphorylation	K00410	ubiquinol-cytochrome c reductase cytochrome b/c1 subunit		
Oxidative phosphorylation	K00412	ubiquinol-cytochrome c reductase cytochrome b subunit		
Oxidative phosphorylation	K02118	V/A-type H+/Na+-transporting ATPase subunit B		
Oxygen metabolism (Oxidative phosphorylation Complex IV)	7.1.1.3	cytochrome o ubiquinol oxidase subunit I; cytochrome o ubiquinol oxidase subunit II	TIGR01433.hmm	218.75|full
Oxygen metabolism (Oxidative phosphorylation Complex IV)	7.1.1.5	cytochrome aa3-600 menaquinol oxidase subunit I; cytochrome aa3-600 menaquinol oxidase subunit II	TIGR02882.hmm, TIGR01432.hmm	954.70|full, 204.55|full
Oxygen metabolism (Oxidative phosphorylation Complex IV)	7.1.1.7	cytochrome bd ubiquinol oxidase subunit I; cytochrome bd ubiquinol oxidase subunit II	PF01654.hmm, TIGR00203.hmm	118|full, 88.55|full
Oxygen metabolism (Oxidative phosphorylation Complex IV)	7.1.1.9	cytochrome c oxidase subunit I; cytochrome c oxidase subunit II; cytochrome c oxidase cbb3-type subunit I	TIGR02891.hmm, TIGR02866.hmm, TIGR00780.hmm	617.40|full, 144.30|full, 168.15|full
Oxygen metabolism (Oxidative phosphorylation Complex IV)	K00405	cytochrome c oxidase cbb3-type subunit II	TIGR00781.hmm	62.85|full
Oxygen metabolism (Oxidative phosphorylation Complex IV)	K00406	cytochrome c oxidase cbb3-type subunit III	TIGR00782.hmm	54.05|full
Oxygen metabolism (Oxidative phosphorylation Complex IV)	K02299	cytochrome o ubiquinol oxidase subunit III		
Oxygen metabolism (Oxidative phosphorylation Complex IV)	K02300	cytochrome o ubiquinol oxidase subunit IV	TIGR02847.hmm	64.95|full
Perchlorate reduction	N/A	perchlorate reductase, subunit alpha	TIGR03479.hmm	559.05|full
Perchlorate reduction	N/A	perchlorate reductase, subunit beta	TIGR03478.hmm	319.40|full
Selenate reduction	1.97.1.9	putative selenate reductase	TIGR03315.hmm	354.45|full
Selenate reduction	K12528	putative selenate reductase molybdopterin-binding subunit	TIGR03313.hmm	526.50|full
Selenate reduction	K12529	putative selenate reductase FAD-binding subunit	TIGR03312.hmm	87.85|full
Sulfur cycling	1.13.11.18	sulfur dioxygenase	sulfur_dioxygenase_sdo.hmm	300|full
Sulfur cycling	1.13.11.55	sulfur oxygenase/reductase	PF07682.hmm	120|full
Sulfur cycling	1.8.1.22	dissimilatory sulfite reductase alpha subunit; dissimilatory sulfite reductase beta subunit	dsrA.hmm, dsrB.hmm	200.00|full, 204.00|full
Sulfur cycling	1.8.2.3	sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	PF09242.hmm	266|full
Sulfur cycling	1.8.5.4	sulfide:quinone oxidoreductase	sulfide_quinone_oxidoreductase_sqr.hmm	300|full
Sulfur cycling	1.8.5.5	thiosulfate reductase / polysulfide reductase chain A	thiosulfate_reductase_phsA.hmm	323|full
Sulfur cycling	1.8.99.2	adenylylsulfate reductase, subunit A	aprA.hmm	641.75|full
Sulfur cycling	2.7.7.4	sulfate adenylyltransferase	TIGR00339.hmm	181.80|full
Sulfur cycling	3.1.6.20	S-sulfosulfanyl-L-cysteine sulfohydrolase	soxB.hmm	550.00|full
Sulfur cycling	K00385	anaerobic sulfite reductase subunit C	asrC.hmm	324.10|full
Sulfur cycling	K16950	anaerobic sulfite reductase subunit A	asrA.hmm	323.15|full
Sulfur cycling	K16951	anaerobic sulfite reductase subunit B	asrB.hmm	288.60|full
Sulfur cycling	K17219	sulfur reductase molybdopterin subunit	K17219.hmm	1889.97|full
Sulfur cycling	K17220	sulfur reductase FeS subunit	K17220.hmm	486.50|full
Sulfur cycling	K17221	sulfur reductase membrane anchor	K17221.hmm	721.30|full
Sulfur cycling	K17225	sulfane dehydrogenase subunit SoxC	soxC.hmm	320.00|full
Sulfur cycling	K17226	sulfur-oxidizing protein SoxY	soxY.hmm	125.00|full
Sulfur cycling	N/A	dissimilatory sulfite reductase delta subunit	dsrD.hmm	32.80|full
Sulfur cycling enzymes (detailed)	1.13.11.18	sulfur dioxygenase	sulfur_dioxygenase_sdo.hmm	120|full
Sulfur cycling enzymes (detailed)	1.13.11.55	sulfur oxygenase/reductase	PF07682.hmm	300|full
Sulfur cycling enzymes (detailed)	1.14.11.17	taurine dioxygenase		
Sulfur cycling enzymes (detailed)	1.14.13.111	methanesulfonate monooxygenase subunit alpha		
Sulfur cycling enzymes (detailed)	1.14.13.131	dimethyl-sulfide monooxygenase		
Sulfur cycling enzymes (detailed)	1.14.14.34	alkanesulfonate monooxygenase	PF00296.hmm	264.3|full
Sulfur cycling enzymes (detailed)	1.14.14.35	dimethylsulfone monooxygenase		
Sulfur cycling enzymes (detailed)	1.14.14.5	alkanesulfonate monooxygenase		
Sulfur cycling enzymes (detailed)	1.8.1.2	sulfite reductase (NADPH) flavoprotein alpha-component		
Sulfur cycling enzymes (detailed)	1.8.1.22	dissimilatory sulfite reductase alpha subunit; dissimilatory sulfite reductase beta subunit	dsrA.hmm, dsrB.hmm	200.00|full, 204.00|full
Sulfur cycling enzymes (detailed)	1.8.2.3	sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	PF09242.hmm	266|full
Sulfur cycling enzymes (detailed)	1.8.2.4	dimethylsulfide dehydrogenase subunit alpha		
Sulfur cycling enzymes (detailed)	1.8.2.6	S-disulfanyl-L-cysteine oxidoreductase SoxD	soxD.hmm	90.00|full
Sulfur cycling enzymes (detailed)	1.8.4.14	L-methionine (R)-S-oxide reductase		
Sulfur cycling enzymes (detailed)	1.8.4.8	phosphoadenosine phosphosulfate reductase		
Sulfur cycling enzymes (detailed)	1.8.5.10	[DsrC]-trisulfide reductase subunit K	dsrK.hmm	460.00|full
Sulfur cycling enzymes (detailed)	1.8.5.10	[DsrC]-trisulfide reductase subunit M	dsrM.hmm	172.0|full
Sulfur cycling enzymes (detailed)	1.8.5.3	anaerobic dimethyl sulfoxide reductase subunit A		
Sulfur cycling enzymes (detailed)	1.8.5.4	sulfide:quinone oxidoreductase	sulfide_quinone_oxidoreductase_sqr.hmm	300|full
Sulfur cycling enzymes (detailed)	1.8.5.5	thiosulfate reductase / polysulfide reductase chain A	thiosulfate_reductase_phsA.hmm	323|full
Sulfur cycling enzymes (detailed)	1.8.99.2	adenylylsulfate reductase, subunit A; adenylylsulfate reductase, subunit B	aprA.hmm, aprB.hmm	641.75|full, 135.65|full
Sulfur cycling enzymes (detailed)	2.1.1.13	5-methyltetrahydrofolate--homocysteine methyltransferase		
Sulfur cycling enzymes (detailed)	2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase		
Sulfur cycling enzymes (detailed)	2.1.1.334	methanethiol S-methyltransferase		
Sulfur cycling enzymes (detailed)	2.1.1.37	DNA (cytosine-5)-methyltransferase 1		
Sulfur cycling enzymes (detailed)	2.5.1.144	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)		
Sulfur cycling enzymes (detailed)	2.5.1.47	cysteine synthase		
Sulfur cycling enzymes (detailed)	2.5.1.48	cystathionine gamma-synthase		
Sulfur cycling enzymes (detailed)	2.5.1.49	O-acetylhomoserine (thiol)-lyase		
Sulfur cycling enzymes (detailed)	2.5.1.6	S-adenosylmethionine synthetase		
Sulfur cycling enzymes (detailed)	2.6.1.1	aspartate aminotransferase		
Sulfur cycling enzymes (detailed)	2.7.1.25	adenylylsulfate kinase		
Sulfur cycling enzymes (detailed)	2.7.7.4	sulfate adenylyltransferase	TIGR00339.hmm	181.80|full
Sulfur cycling enzymes (detailed)	2.7.7.4	sulfate adenylyltransferase subunit 1; sulfate adenylyltransferase subunit 2; bifunctional enzyme CysN/CysC		
Sulfur cycling enzymes (detailed)	2.8.5.2	L-cysteine S-thiosulfotransferase	soxA.hmm	110.00|full
Sulfur cycling enzymes (detailed)	2.8.5.2	L-cysteine S-thiosulfotransferase	soxX.hmm	61.00|full
Sulfur cycling enzymes (detailed)	3.1.6.20	S-sulfosulfanyl-L-cysteine sulfohydrolase	soxB.hmm	550.00|full
Sulfur cycling enzymes (detailed)	3.13.2.1	adenosylhomocysteinase		
Sulfur cycling enzymes (detailed)	3.2.2.9	adenosylhomocysteine nucleosidase		
Sulfur cycling enzymes (detailed)	4.4.1.11	methionine-gamma-lyase	PF01053.hmm	432.5|full
Sulfur cycling enzymes (detailed)	4.4.1.13	cysteine-S-conjugate beta-lyase		
Sulfur cycling enzymes (detailed)	4.4.1.15	D-cysteine desulfhydrase		
Sulfur cycling enzymes (detailed)	4.4.1.21	S-ribosylhomocysteine lyase		
Sulfur cycling enzymes (detailed)	K00385	anaerobic sulfite reductase subunit C	asrC.hmm	324.10|full
Sulfur cycling enzymes (detailed)	K07235	tRNA 2-thiouridine synthesizing protein D		
Sulfur cycling enzymes (detailed)	K07236	tRNA 2-thiouridine synthesizing protein C		
Sulfur cycling enzymes (detailed)	K07237	tRNA 2-thiouridine synthesizing protein B		
Sulfur cycling enzymes (detailed)	K16950	anaerobic sulfite reductase subunit A	asrA.hmm	323.15|full
Sulfur cycling enzymes (detailed)	K16951	anaerobic sulfite reductase subunit B	asrB.hmm	288.60|full
Sulfur cycling enzymes (detailed)	K17219	sulfur reductase molybdopterin subunit		
Sulfur cycling enzymes (detailed)	K17220	sulfur reductase FeS subunit		
Sulfur cycling enzymes (detailed)	K17221	sulfur reductase membrane anchor		
Sulfur cycling enzymes (detailed)	K17225	sulfane dehydrogenase subunit SoxC	soxC.hmm	320.00|full
Sulfur cycling enzymes (detailed)	K17226	sulfur-oxidizing protein SoxY	soxY.hmm	125.00|full
Sulfur cycling enzymes (detailed)	K17227	sulfur-oxidizing protein SoxZ	soxZ.hmm	76.00|full
Sulfur cycling enzymes (detailed)	K23077	dissimilatory sulfite reductase related protein	dsrC.hmm	52.85|full
Sulfur cycling enzymes (detailed)	K27189	[DsrC]-trisulfide reductase subunit J	dsrJ.hmm	95.00|full
Sulfur cycling enzymes (detailed)	K27190	[DsrC]-trisulfide reductase subunit O	dsrO.hmm	250.00|full
Sulfur cycling enzymes (detailed)	K27191	dissimilatory sulfite reductase, subunit P	dsrP.hmm	412.80|full
Sulfur cycling enzymes (detailed)	N/A	dissimilatory sulfite reductase delta subunit	dsrD.hmm	32.80|full
Sulfur cycling enzymes (detailed)	N/A	dissimilatory sulfite reductase, subunit E	dsrE.hmm	160.00|full
Sulfur cycling enzymes (detailed)	N/A	dissimilatory sulfite reductase, subunit F	dsrF.hmm	155.00|full
Sulfur cycling enzymes (detailed)	N/A	dissimilatory sulfite reductase, subunit H	dsrH.hmm	97.00|full
Sulfur cycling enzymes (detailed)	N/A	dissimilatory sulfite reductase, subunit R	dsrR.hmm	80.00|full
Sulfur cycling enzymes (detailed)	N/A	dissimilatory sulfite reductase, subunit S	dsrS.hmm	115.70|full
Sulfur cycling enzymes (detailed)	N/A	dissimilatory sulfite reductase, subunit T	dsrT.hmm	90.00|full
Sulfur cycling enzymes (detailed)	N/A	soxYZ_like_carrier	soxYZ_like_carrier.hmm	120.00|full
Sulfur cycling enzymes (detailed)	N/A	DMS oxygenase alpha subunit	PF06099.hmm	50.4|full
Sulfur cycling enzymes (detailed)	N/A	DMS oxygenase beta subunit	PF02332.hmm	160.4|full
Sulfur cycling enzymes (detailed)	N/A	DMS oxygenase alpha subunit	PF06099.hmm	50.4|full
Sulfur cycling enzymes (detailed)	N/A	DMS oxygenase beta subunit	PF02332.hmm	160.4|full
Sulfur cycling enzymes (detailed)	N/A	dimethyl-sulfide monooxygenase subunit B	PF01613.hmm	50.1|full
Thermophilic specific	5.6.2.2	reverse gyrase	TIGR01054.hmm	469.70|full
Translation	2.9.1.1	L-seryl-tRNA(Ser) seleniumtransferase		
Translation	6.1.1.10	methionyl-tRNA synthetase		
Translation	6.1.1.11	seryl-tRNA synthetase		
Urea utilization	3.5.1.5	urease subunit alpha; urease subunit beta; urease subunit gamma	TIGR01792.hmm, TIGR00192.hmm, TIGR00193.hmm	212.95|full, 40.65|full, 31.45|full
